Ingredient,Type,Purpose,Skin Type
Glyceryl Stearate,Emulsifier,"Moisturizes, emulsifies products",All skin types
Glycolic Acid,Alpha Hydroxy Acid,"Exfoliates skin, brightens skin tone","Oily, acne-prone"
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical extract,"Brightens skin, anti-inflammatory, soothes irritation",All skin types
Hectorite,Clay,"Absorbent, thickening agent, mattifies skin","Oily, combination"
Kaolin,Clay,"Absorbs excess oils, purifies skin","Oily, acne-prone"
Matricaria Recutita (Chamomile) Flower Extract,Botanical extract,"Soothes skin, anti-inflammatory, calms irritation",Sensitive skin
Olea Europaea (Olive) Leaf Extract,Botanical extract,"Antioxidant, soothes and nourishes skin",All skin types
Phenoxyethanol,Preservative,"Preserves product, antimicrobial",All skin types
Salix Nigra (Willow) Bark Extract,Botanical extract,"Natural exfoliant, anti-inflammatory","Oily, acne-prone"
Titanium Dioxide,Mineral sunscreen,"UV protection, physical barrier, brightens skin",Sensitive skin
Sodium Laureth Sulfate (SLES),Surfactant,"Cleanses, foams, removes oil and dirt from skin","Oily, acne-prone"
Cocamide DEA,Surfactant,"Foam booster, emulsifier, enhances cleansing",All skin types
Carbomer,Thickener,"Thickens products, stabilizes formulas",All skin types
Cellulose Beads,Exfoliant,"Provides gentle exfoliation, removes dead skin cells","Dry, sensitive"
Matricaria Recutita (Chamomile) Flower Extract,Botanical extract,"Soothes, anti-inflammatory, calms irritation",Sensitive skin
Ginkgo Biloba Leaf Extract,Botanical extract,"Improves circulation, antioxidant, soothes skin",All skin types
Tetrasodium EDTA,Chelating agent,"Stabilizes formula, binds metal ions",All skin types
PEG-40 Hydrogenated Castor Oil,Solubilizer,Mixes water and oil-based ingredients,All skin types
Ginkgo Biloba Leaf Extract,Antioxidant,Protects from free radical damage,"Sensitive, mature"
Aspalathus Linearis (Rooibos) Leaf Extract,Antioxidant,Soothes and calms irritation,"Sensitive, irritated"
Sodium Gluconate,Chelating agent,Enhances formulation stability,All skin types
Sodium Laureth Sulfate (SLES),Surfactant,Cleansing; removes dirt and oil,"Oily, normal"
Cocamidopropyl Betaine,Amphoteric surfactant,Gentle cleansing; improves foam quality,All skin types
Cocamide DEA,Surfactant,Foam booster; enhances texture,All skin types
Cellulose Beads,Exfoliant,Removes dead skin cells; gentle polishing,All skin types
Tetrasodium EDTA,Chelating agent,Stabilizes the formulation by binding metals,All skin types
Rosa Damascena (Rose) Flower Water,Floral Water,Hydration; soothing,"All skin types, dry, sensitive"
Hamamelis Virginiana (Witch Hazel) Leaf Extract,Botanical Extract,"Toning; astringent, reduces redness","Oily, acne-prone"
Hydrolyzed Sodium Hyaluronate,Humectant,Deep hydration; moisture retention,"Dry, mature, all skin types"
Calendula Officinalis Flower Extract,Botanical Extract,"Soothing, calming; reduces irritation","Sensitive, irritated"
Ethylhexylglycerin,Preservative,Antimicrobial; enhances preservative efficacy,All skin types
Sodium Lauroyl Methyl Isethionate,Surfactant,"Gentle cleansing, foaming agent",All skin types
Sodium Methyl Oleoyl Taurate,Surfactant,"Cleansing; mild, derived from oleic acid",All skin types
Lauryl Glucoside,Surfactant,"Cleansing; gentle, derived from natural sugars","Sensitive, dry, all skin types"
Coco-Glucoside,Surfactant,Cleansing; derived from coconut oil,All skin types
Methyl Gluceth-20,Humectant,Moisture retention; softens skin,All skin types
3-O-Ethyl Ascorbic Acid,Antioxidant,Brightening; reduces signs of aging,"All skin types, dull"
Citrus Reticulata (Mandarin) Peel Extract,Botanical Extract,"Brightening, antioxidant","Dull, uneven skin tone"
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Botanical Extract,"High in vitamin C, brightening","All skin types, dull"
Citric Acid,pH Adjuster,Balances the pH of formulations,All skin types
Chamomile (Matricaria Recutita Flower Extract),Botanical Extract,"Soothing, anti-inflammatory","Sensitive, dry"
White Tea (Camellia Sinensis Extract),Botanical Extract,Antioxidant; protects from aging,All skin types
Sheer Matte Day Cream,Product Name,Moisturizing; mattifying finish,"Oily, combination, normal"
Sunscreen,Active Ingredient,Protection from UV rays,All skin types
Sodium Laureth Sulfate (SLES),Surfactant,"Cleansing, foaming agent","Oily, normal"
Cocamidopropyl Betaine,Surfactant,Gentle cleansing; improves foam,All skin types
Cocamide DEA,Surfactant,Foam booster; improves texture,All skin types
Carbomer,Thickener,Provides gel-like consistency,All skin types
Cellulose Beads,Exfoliant,"Removes dead skin cells, gentle exfoliation",All skin types
Matricaria Recutita (Chamomile) Flower Extract,Botanical Extract,"Soothing, anti-inflammatory","Sensitive, dry"
Camellia Sinensis (White Tea) Extract,Botanical Extract,Antioxidant; protects from aging,All skin types
Ginkgo Biloba Leaf Extract,Botanical Extract,Antioxidant; protects from free radicals,"Sensitive, mature"
Olea Europaea (Olive) Leaf Extract,Botanical Extract,"Moisturizing, antioxidant","Dry, mature"
Aspalathus Linearis (Rooibos) Leaf Extract,Botanical Extract,Soothes and calms skin,"Sensitive, irritated"
Camellia Sinensis (Green Tea) Leaf Extract,Botanical Extract,Antioxidant; protects skin from aging,All skin types
Tetrasodium EDTA,Chelating agent,"Stabilizes formulation, binds metals",All skin types
Vitamin C (3%),Active Ingredient,"Brightening, antioxidant",All skin types (use caution for highly sensitive skin)
Peptide (3%),Active Ingredient,"Boosts collagen, anti-aging","All skin types, Sensitive"
Caffeine (3%),Active Ingredient,"Reduces puffiness, anti-inflammatory","All skin types, Sensitive"
Under Eye Cream,Product Type,Targeted treatment for under-eye area,"All skin types, Sensitive"
Mandarin (Citrus Reticulata),Botanical Extract,"Brightening, antioxidant",All skin types (use caution for sensitive skin)
Methylpropanediol,Humectant,"Moisturizes, enhances product penetration",All skin types
Xylitylglucoside,Humectant,"Skin conditioning, moisture retention",All skin types
Anhydroxylitol,Humectant,"Moisturizes, balances skin hydration",All skin types
Sodium Hydroxide,pH Adjuster,Balances pH of the product,All skin types
Phenoxyethanol,Preservative,"Antimicrobial, prevents bacterial growth",All skin types
Ethylhexylglycerin,Preservative,"Antimicrobial, enhances preservation",All skin types
Green Tea Extract,Botanical Extract,"Antioxidant, soothes and protects skin","All skin types, Sensitive"
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Film Former,Provides smooth texture and stability,All skin types
Zinc Gluconate,Mineral,"Soothes, regulates oil production","Oily, acne-prone"
Copper Gluconate,Mineral,"Promotes collagen production, skin healing",All skin types
Magnesium Aspartate,Mineral,"Soothes, promotes skin health",All skin types
C15-19 Alkane,Emollient,"Provides smooth feel, conditions skin",All skin types
Magnesium Ascorbyl Phosphate,Vitamin C Derivative,"Antioxidant, brightens skin",All skin types
Caffeine,Active Ingredient,"Reduces puffiness, stimulates circulation","All skin types, Sensitive"
Caprylic/Capric Triglyceride,Emollient,"Moisturizes, softens skin",All skin types
Fragrance,Fragrance,Adds scent to product,All skin types (use caution for sensitive)
Disodium EDTA,Chelating Agent,"Stabilizes formulation, binds metal ions",All skin types
Hyaluronic Acid,Humectant,"Hydrates, plumps skin",All skin types
Cyclopentasiloxane,Silicone,"Creates smooth texture, provides slip","Dry, sensitive skin"
Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Film Former,"Stabilizes formulation, smooth texture",All skin types
Dimethicone,Silicone,"Smoothens, conditions, forms a barrier","Dry, sensitive skin"
Trideceth-6,Surfactant,"Helps blend ingredients, emulsifies",All skin types
PEG/PPG-18/18 Dimethicone,Silicone,"Improves texture, enhances spreadability","Dry, sensitive skin"
Dimethicone Crosspolymer,Silicone,"Enhances texture, provides silky finish","Dry, sensitive skin"
Camellia Sinensis (Green Tea) Leaf Extract,Botanical Extract,"Antioxidant, soothes and protects skin","All skin types, Sensitive"
Citric Acid,AHA (Alpha Hydroxy Acid),"Exfoliates, balances pH","Dry, sensitive skin"
Sodium Benzoate,Preservative,"Antimicrobial, prevents bacterial growth",All skin types
Potassium Sorbate,Preservative,"Antimicrobial, prevents bacterial growth",All skin types
Sodium Hyaluronate,Humectant,"Hydrates, plumps skin",All skin types
Perfume,Fragrance,Adds scent to product,All skin types (use caution for sensitive)
Laminaria Digitata Extract,Botanical Extract,"Soothes, moisturizes, provides antioxidants","All skin types, Sensitive"
Cetyl-PG Hydroxyethyl Palmitamide,Emollient,"Moisturizes, enhances skin barrier",All skin types
"Ceramide 1, 2, 3, 4, 6 II",Lipid,"Restores barrier, locks in moisture","Dry, sensitive skin"
Lactic Acid,AHA,"Exfoliates, brightens skin","Dry, sensitive skin"
Glycolic Acid,AHA,"Exfoliates, smoothens skin","Dry, sensitive skin"
Vaccinium Myrtillus (Blueberry) Fruit Extract,Antioxidant,Protects against environmental damage,All skin types
Saccharum Officinarum (Sugarcane) Extract,AHA,"Exfoliates, brightens skin","Dry, sensitive skin"
Citrus Aurantium Dulcis (Orange) Fruit Extract,Vitamin C,"Brightens, antioxidant","All skin types, Sensitive"
Citrus Limon (Lemon) Fruit Extract,"Vitamin C, AHA","Brightens, exfoliates","Dry, sensitive skin"
Acer Saccharum (Sugar Maple) Extract,AHA,"Exfoliates, brightens skin","Dry, sensitive skin"
Tartaric Acid,AHA,"Exfoliates, brightens skin","Dry, sensitive skin"
Malic Acid,AHA,"Exfoliates, smoothens skin","Dry, sensitive skin"
Aloe Barbadensis Leaf Juice,Botanical Extract,"Soothes, moisturizes, heals skin","All skin types, Sensitive"
Ammonium Acryloyldimethyltaurate/VP Copolymer,Film Former,"Stabilizes formulation, smooth texture",All skin types
Argania Spinosa (Argan) Oil,Oil,"Moisturizes, nourishes skin, anti-aging","Dry, sensitive, mature"
Betaine,Humectant,"Moisturizes, soothes skin",All skin types
CI 19140 (Yellow 5),Colorant,Adds color to product,All skin types
CI 42090 (Blue 1),Colorant,Adds color to product,All skin types
Glycolic Acid,AHA,"Exfoliates, brightens skin","Dry, sensitive skin"
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical Extract,"Brightens, soothes, reduces hyperpigmentation",All skin types
Ginkgo Biloba Leaf Extract,Botanical Extract,"Antioxidant, improves circulation",All skin types
Lycium Barbarum (Goji) Fruit Extract,Botanical Extract,"Antioxidant, nourishes skin",All skin types
Salix Nigra (Willow) Bark Extract,Botanical Extract,"Exfoliates, soothes, contains salicylic acid","Oily, acne-prone, Sensitive"
Aqua (Water),Solvent,"Solvent, hydrates skin",All skin types
Willow Bark Extract,Botanical Extract,"Exfoliates, soothes, contains salicylic acid","Oily, acne-prone, Sensitive"
Dicaprylyl Ether,Emollient,"Softens skin, enhances spreadability","Dry, sensitive skin"
Alcohol Denat,Solvent,"Dissolves ingredients, provides quick-dry","Oily, acne-prone skin"
Caprylic/Capric Triglyceride,Emollient,"Moisturizes, softens skin","Dry, sensitive skin"
Zea Mays Starch/Corn Starch,Absorbent,"Absorbs moisture, provides smooth texture","Oily, sensitive skin"
Polyglyceryl-3 Methylglucose Distearate,Emulsifier,"Binds water and oil together, improves texture",All skin types
Stearyl Alcohol,"Emollient, Fatty Alcohol","Softens skin, stabilizes formulas","Dry, sensitive skin"
Glyceryl Stearate SE,Emulsifier,"Helps blend ingredients, stabilizes product",All skin types
Carbomer*,Thickener,Creates gel-like consistency,All skin types
Salicylic Acid*,BHA (Beta Hydroxy Acid),"Exfoliates, treats acne","Oily, acne-prone skin"
Caprylyl Glycol*,"Humectant, Preservative","Moisturizes, enhances preservation",All skin types
Tocopherol,Antioxidant,"Protects skin, nourishes, reduces aging signs",All skin types
Parfum/Fragrance*,Fragrance,Adds scent to product,All skin types (use caution for sensitive)
Sodium Hydroxide*,pH Adjuster,Balances the pH of the product,All skin types
Xanthan Gum,Thickener,"Stabilizes, thickens product",All skin types
Sodium Phytate,Chelating Agent,"Binds metal ions, prevents degradation",All skin types
Glycine Soja Oil/Soybean Oil,"Emollient, Oil","Moisturizes, nourishes skin","Dry, sensitive skin"
Linalool*,Fragrance,"Adds floral scent, can be irritating",All skin types (use caution for sensitive)
Maltodextrin,Carbohydrate,"Stabilizes, adds moisture",All skin types
Benzyl Salicylate*,Fragrance,"Adds scent, potential irritant",All skin types (use caution for sensitive)
Camellia Sinensis Leaf Extract,Botanical Extract,"Antioxidant, soothes and protects skin","All skin types, Sensitive"
Limonene*,Fragrance,"Adds citrus scent, potential irritant",All skin types (use caution for sensitive)
Dextrin,Carbohydrate,"Stabilizes, adds moisture",All skin types
Benzyl Alcohol*,Preservative,"Antimicrobial, prevents bacterial growth",All skin types
Geraniol*,Fragrance,"Adds floral scent, potential irritant",All skin types (use caution for sensitive)
Sodium Lauroyl Methyl Isethionate,Surfactant,"Cleanses skin, foams","Oily, acne-prone skin"
Sodium Methyl Oleoyl Taurate,Surfactant,"Cleanses, emulsifies, foams","Oily, sensitive skin"
Lauryl Glucoside,Surfactant,"Gentle cleanser, foaming agent","Sensitive, dry skin"
Coco-Glucoside,Surfactant,"Mild cleanser, foams, emulsifies","Sensitive, dry skin"
Methyl Gluceth-20,Humectant,"Moisturizes, smooths skin",All skin types
3-O-Ethyl Ascorbic Acid,"Antioxidant, Vitamin C","Brightens, repairs skin, protects from aging",All skin types
Citrus Reticulata (Mandarin) Peel Extract,Botanical Extract,"Antioxidant, brightens skin",All skin types
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Botanical Extract,"Antioxidant, brightens skin, anti-aging",All skin types
Bentonite,Clay,"Absorbs excess oil, detoxifies, exfoliates","Oily, acne-prone skin"
Cetearyl Alcohol,Fatty Alcohol,"Emollient, thickener, stabilizes formulations","Dry, sensitive skin"
FDA Approved Colours,Colorant,Adds color to the product,All skin types
Glyceryl Stearate,Emulsifier,Helps blend water and oil-based ingredients,All skin types
Kaolin,Clay,"Absorbs oil, detoxifies, smooths skin","Oily, acne-prone skin"
"1,3 Butylene Glycol",Humectant,"Moisturizes, enhances skin hydration",All skin types
Aloe Barbadensis (Aloe) Leaf Juice,Botanical Extract,"Soothes, hydrates, and calms irritated skin","Sensitive, dry skin"
Ammonium Acryloyldimethyltaurate/VP Copolymer,"Emulsifier, Stabilizer",Binds oil and water-based ingredients,All skin types
Argania Spinosa (Argan) Kernel Oil,Oil,"Moisturizes, nourishes, and improves skin elasticity","Dry, mature skin"
Benzophenone-3,UV Filter,Protects skin from UV radiation,All skin types
Betaine,Humectant,"Moisturizes, reduces irritation","Sensitive, dry skin"
Butyl Methoxydibenzoylmethane,UV Filter,Protects skin from UV radiation,All skin types
Calendula Officinalis Flower Extract,Botanical Extract,"Soothes, calms inflammation","Sensitive, dry skin"
Ethylhexyl Methoxycinnamate,UV Filter,Provides broad-spectrum UV protection,All skin types
Glycerin,Humectant,"Moisturizes, attracts moisture to skin",All skin types
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical Extract,"Soothes skin, reduces pigmentation, anti-inflammatory","Sensitive, uneven skin tone"
Lycium Barbarum (Goji) Fruit Extract,Botanical Extract,"Antioxidant, protects against aging",All skin types
Niacinamide,Vitamin,"Reduces hyperpigmentation, improves skin texture",All skin types
Phospholipids,Emollient,"Hydrates, improves skin barrier","Dry, sensitive skin"
Sodium Gluconate,Chelating Agent,"Stabilizes product, enhances efficacy",All skin types
Aloe Barbadensis Leaf Juice,Botanical Extract,"Soothes, hydrates, and calms irritated skin","Sensitive, dry skin"
Isodecyl Neopentanoate,Emollient,"Provides smooth texture, moisturizes","Dry, sensitive skin"
3-O-Ethyl Ascorbic Acid,"Antioxidant, Vitamin C","Brightens skin, improves skin texture",All skin types
Prunus Amygdalus Dulcis (Sweet Almond) Oil,Oil,"Moisturizes, nourishes skin, improves elasticity","Dry, sensitive skin"
Squalane,Emollient,"Hydrates, softens, and restores skin barrier",All skin types
Sodium Citrate,pH Adjuster,Balances pH of the formulation,All skin types
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"Emulsifier, Stabilizer","Provides smooth texture, stabilizes formula",All skin types
Cyclodextrin,Encapsulating Agent,"Improves stability, protects active ingredients",All skin types
PEG-100 Stearate,Emulsifier,"Stabilizes formulation, enhances texture",All skin types
Sucrose,Humectant,Moisturizes and softens the skin,All skin types
Benzyl Alcohol,Preservative,"Antimicrobial, prevents bacterial growth",All skin types
Hydroxyacetophenone,Antioxidant,Protects skin from oxidative stress,All skin types
Caprylyl Glycol,"Emollient, Preservative",Moisturizes and protects skin,All skin types
Sodium Hyaluronate,Humectant,"Deeply hydrates, plumps skin",All skin types
Citric Acid,pH Adjuster,Adjusts pH to maintain stability,All skin types
Dilauryl Thiodipropionate,"Antioxidant, Stabilizer","Protects from oxidation, improves formula stability",All skin types
Sodium Benzotriazolyl Butylphenol Sulfonate,UV Filter,Provides broad-spectrum UV protection,All skin types
Buteth-3,Surfactant,Enhances texture and foaming ability,All skin types
Tributyl Citrate,Plasticizer,"Enhances texture, softens the product",All skin types
Dimethicone,Silicones,"Smooths, protects, and hydrates skin",All skin types
Cetyl Ethylhexanoate,Ester,"Emollient, softens and smoothens skin","Dry, sensitive skin"
Silica,Absorbent,Controls oil and mattifies skin,Oily skin
Butylene Glycol,Humectant,"Moisturizes, enhances skin hydration",All skin types
Dipropylene Glycol,Solvent,"Solubilizes active ingredients, moisturizes",All skin types
Trisiloxane,Silicones,Enhances texture and spreadability of product,All skin types
Caprylyl Methicone,Silicones,"Provides smooth texture, hydrates skin",All skin types
Lactobacillus Ferment,Probiotic,"Improves skin barrier, calms inflammation","Sensitive, dry skin"
PEG-9 Polydimethylsiloxyethyl Dimethicone,Silicone,"Smooths texture, provides hydration",All skin types
Rosmarinus Officinalis (Rosemary) Leaf Extract,Botanical Extract,"Antioxidant, soothing, anti-inflammatory","Sensitive, oily skin"
Arctium Lappa Root Extract,Botanical Extract,"Antioxidant, purifies and soothes skin","Oily, acne-prone skin"
Simmondsia Chinensis (Jojoba) Seed Extract,Oil,"Moisturizes, restores skin's elasticity",All skin types
Phellodendron Amurense Bark Extract,Botanical Extract,Soothes and calms inflammation,"Sensitive, irritated skin"
Algae Extract,Botanical Extract,"Hydrates, nourishes and detoxifies skin",All skin types
Epilobium Angustifolium Flower/Leaf/Stem Extract,Botanical Extract,Reduces irritation and calms skin,"Sensitive, dry skin"
Wine Extract,Botanical Extract,"Antioxidant, anti-aging, improves skin tone",All skin types
Dipotassium Glycyrrhizate,Botanical Extract,"Soothes, anti-inflammatory","Sensitive, irritated skin"
Caprylyl Glycol,"Emollient, Preservative","Moisturizes, protects skin",All skin types
Dimethicone/PEG-10/15 Crosspolymer,Silicone,"Improves texture, provides smooth finish",All skin types
PEG-12 Dimethicone/PPG-20 Crosspolymer,Silicone,"Enhances spreadability, smooths texture",All skin types
Dimethicone,Silicone,"Smooths, protects, and hydrates skin",All skin types
Laminaria Saccharina Extract,Botanical Extract,"Hydrates, nourishes, detoxifies skin",All skin types
Tocopherol,Antioxidant,Protects skin from oxidative stress,All skin types
Sodium Citrate,Buffering Agent,Balances pH levels,All skin types
Niacinamide,Vitamin,"Brightens, reduces fine lines, improves skin texture",All skin types
Propylene Glycol,Humectant,"Moisturizes, enhances penetration of other ingredients",All skin types
Caffeine,Stimulant,"Reduces puffiness, stimulates circulation","Oily, tired skin"
Aloe Barbadensis (Aloe Vera) Extract,Botanical Extract,"Soothes, calms, and moisturizes skin","Sensitive, dry skin"
Phenoxyethanol,Preservative,"Preserves product, prevents microbial growth",All skin types
Ethylhexylglycerin,"Emollient, Preservative","Moisturizes, reduces irritation","Sensitive, dry skin"
Isodecyl Neopentanoate,Emollient,"Softens, smooths skin",Dry skin
C15-19 Alkane,Hydrocarbon,"Solvent, enhances texture",All skin types
Methylpropanediol,Humectant,"Moisturizes, enhances skin penetration",All skin types
Methyl Methacrylate Crosspolymer,Film Former,"Forms a smooth, flexible layer on skin",All skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Emulsifier, Stabilizer","Stabilizes the formula, enhances texture",All skin types
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"Emulsifier, Stabilizer","Stabilizes emulsions, improves texture",All skin types
Acacia Senegal Gum,Plant Extract,"Thickener, improves texture",All skin types
Xanthan Gum,Thickener,Provides viscosity and texture,All skin types
Panthenol,Pro-vitamin B5,"Soothes, moisturizes, promotes skin healing",All skin types
Sodium Gluconate,Chelating Agent,"Binds metal ions, enhances product stability",All skin types
Sodium Hydroxide,pH Adjuster,Balances pH levels,All skin types
Fragrance,Fragrance,Adds scent to product,All skin types
CI 19140,Colorant,Provides yellow color,All skin types
CI 42090,Colorant,Provides blue color,All skin types
Betaine,"Humectant, Amino Acid","Moisturizes, soothes skin",All skin types
PEG-12 Dimethicone,Silicone,"Emollient, smoothens skin, improves texture",All skin types
Octenidine Hcl,Antiseptic,Provides antimicrobial protection,All skin types
Carbomer,Thickener,"Stabilizes formula, improves texture",All skin types
Disodium EDTA,Chelating Agent,"Binds metal ions, enhances product stability",All skin types
Aminomethyl Propanol,pH Adjuster,Balances pH levels,All skin types
Allergen-Free Fragrance,Fragrance,Adds scent to product,All skin types
Aloe Barbadensis Leaf Juice,Botanical Extract,"Soothes, moisturizes, and heals skin","Sensitive, dry skin"
Ammonium Acryloyldimethyltaurate/VP Copolymer,Polymer,Stabilizes and thickens the formula,All skin types
Argania Spinosa (Argan) Oil,Plant Oil,"Nourishes, moisturizes, and improves skin elasticity","Dry, sensitive skin"
Glycolic Acid,Alpha Hydroxy Acid (AHA),"Exfoliates, improves skin texture","All skin types, Mature"
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical Extract,"Brightens, soothes, reduces pigmentation","All skin types, Uneven skin tone"
Ginkgo Biloba Leaf Extract,Botanical Extract,"Antioxidant, improves circulation and skin health",All skin types
Lycium Barbarum (Goji) Fruit Extract,Botanical Extract,"Antioxidant, helps rejuvenate skin",All skin types
Salix Nigra (Willow) Bark Extract,Botanical Extract,"Natural exfoliant, helps reduce acne","Oily, acne-prone skin"
Ethyl Ascorbic Acid (Eq. To 15% Vitamin C),"Antioxidant, Vitamin","Brightens, promotes collagen production, fights signs of aging","All skin types, Uneven skin tone"
Propanediol,Humectant,Moisturizes and improves product texture,All skin types
Isodecyl Neopentanoate,Emollient,Improves skin texture and softens,"Dry, sensitive skin"
Ethoxydiglycol,Solvent,Improves the solubility of ingredients,All skin types
Sodium Citrate,pH Adjuster,Balances the pH of the product,All skin types
Citric Acid,Alpha Hydroxy Acid (AHA),"Exfoliates, helps improve skin texture","All skin types, Oily skin"
Citrus Reticulata (Mandarin) Peel Extract,Botanical Extract,"Brightens, antioxidant, and soothes skin","All skin types, Uneven skin tone"
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Botanical Extract,"Antioxidant, brightens skin, combats signs of aging","All skin types, Dull skin"
Rosa Damascena (Rose) Extract,Botanical Extract,"Soothes, hydrates, and balances skin","Sensitive, dry skin"
Benzyl Alcohol,Preservative,"Preserves product, prevents microbial growth",All skin types
Caprylyl Glycol,"Emollient, Preservative",Moisturizes and prevents microbial growth,All skin types
Trilaureth-4 Phosphate,Surfactant,Enhances the stability of the formula,All skin types
Sodium Polyacryloyldimethyl Taurate,Polymer,Stabilizes the formula and improves texture,All skin types
Xanthan Gum,"Thickener, Stabilizer",Adds thickness and texture to the product,All skin types
Sodium Gluconate,Chelating Agent,"Stabilizes the formula, enhances efficacy",All skin types
Ascorbic Acid (Vitamin C),"Antioxidant, Vitamin","Brightens skin, fights free radicals, collagen synthesis","All skin types, Uneven skin tone"
Propylene Glycol,Humectant,Moisturizes and improves product texture,All skin types
PEG-12 Dimethicone,Emollient,Enhances texture and moisturizes,All skin types
Glycerin,Humectant,"Draws moisture into the skin, hydrates",All skin types
Propanediol,Humectant,"Moisturizes, improves product texture",All skin types
PEG-40 Hydrogenated Castor Oil,Emollient,Softens skin and provides a smooth texture,All skin types
Butylene Glycol,Humectant,Moisturizes and improves texture,All skin types
Tocopheryl Acetate (Vitamin E),Antioxidant,"Protects against free radicals, moisturizes",All skin types
Panax Ginseng Root Extract,Botanical Extract,"Boosts skin vitality, anti-aging","All skin types, Mature skin"
Citric Acid,AHA,"Exfoliates, brightens skin","All skin types, Oily skin"
Sodium Metabisulfite,"Antioxidant, Preservative",Prevents oxidation and microbial growth,All skin types
Ethylhexylglycerin,"Preservative, Emollient","Moisturizes, prevents microbial growth",All skin types
Citrus Paradisi (Grapefruit) Fruit Extract,Botanical Extract,"Brightens, tightens skin, antioxidant","All skin types, Dull skin"
Ferulic Acid,Antioxidant,"Combats free radicals, enhances vitamin C efficacy",All skin types
Acetyl Tetrapeptide-2,Peptide,"Improves skin elasticity, fights aging signs","Mature skin, All skin types"
Coco-Caprylate/Caprate,Emollient,Softens and smooths the skin,All skin types
Prunus Amygdalus Dulcis (Sweet Almond) Oil,Emollient,Moisturizes and nourishes skin,"Dry, Sensitive skin"
Sodium Ascorbyl Phosphate (Stable Vitamin C),"Antioxidant, Vitamin","Brightens skin, fights free radicals, promotes collagen","All skin types, Dull skin"
Triethanolamine,pH Adjuster,Balances the pH of the product,All skin types
Ascorbyl Glucoside (Vitamin C derivative),"Antioxidant, Vitamin","Brightens skin, improves skin tone","All skin types, Uneven skin tone"
Rosa Canina Fruit Oil (Rosehip Oil),Botanical Extract,"Hydrates, nourishes, and repairs skin","Dry, Sensitive skin"
Lauryl Glucoside,Surfactant,"Cleanses skin, gentle foaming agent",Sensitive skin
Polyglyceryl-2 Dipolyhydroxystearate,Emulsifier,Stabilizes emulsions and improves texture,All skin types
Xanthan Gum,Thickener,Provides texture and stability to products,All skin types
Cellulose,Thickener,Improves texture and consistency of product,All skin types
Hectorite,Clay,Stabilizer and thickening agent,All skin types
Benzyl Alcohol,"Preservative, Solvent",Preserves the product and prevents microbial growth,All skin types
Niacinamide (10%),"Vitamin, Antioxidant","Reduces redness, brightens, improves skin barrier","All skin types, Sensitive skin, Uneven skin tone"
Oryza Sativa (Rice) Extract,Botanical Extract,"Soothes and brightens skin, hydrates","Dry, Sensitive skin, Dull skin"
Isodecyl Neopentanoate,Emollient,Softens and smooths the skin,All skin types
Squalane (5%),"Emollient, Hydrating",Moisturizes and prevents water loss,"Dry, Sensitive skin"
Pentylene Glycol,Humectant,Hydrates and smooths skin,All skin types
Hydrogenated Polyisobutene,Emollient,Softens and smooths the skin,All skin types
Rice Ferment Filtrate (Sake),"Ferment, Antioxidant","Brightens, hydrates, and evens skin tone",All skin types
Butylene Glycol,Humectant,Hydrates and enhances absorption,All skin types
Rosa Damascena (Rose) Flower Water,"Floral Water, Hydrating","Soothes, hydrates, and refreshes the skin","Dry, Sensitive skin"
Caffeine (1%),Stimulant,"Reduces puffiness, enhances skin tone",All skin types
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical Extract,"Brightens skin, reduces dark spots, soothes","Uneven skin tone, Dull skin"
Glycerin,Humectant,Draws moisture into the skin,All skin types
Acrylates Copolymer,Film-forming Agent,Improves texture and stability of products,All skin types
VP/Polycarbamyl Polyglycol Ester,Film-forming Agent,Enhances texture and consistency,All skin types
Hydrolyzed Sesame Protein Pg-Propyl Methylsilanediol,"Protein, Moisturizing",Strengthens and moisturizes skin,All skin types
Benzyl Alcohol,"Preservative, Solvent",Prevents microbial growth,All skin types
Hydroxyacetophenone,Antioxidant,"Preserves the formula, antioxidant properties",All skin types
Caprylyl Glycol,"Emollient, Preservative",Moisturizes and stabilizes the product,All skin types
Ethylhexyl Olivate,Emollient,Moisturizes and enhances skin softness,"Dry, Sensitive skin"
Sodium Acrylates Copolymer,Film-forming Agent,Improves texture and stability,All skin types
Polyglyceryl-4 Olivate,Emollient,Improves skin feel and hydration,All skin types
Cyclodextrin,"Stabilizer, Texture",Improves texture and absorbs oils,All skin types
Sodium Hyaluronate,Hydrator,Hydrates and plumps skin,"Dry, Sensitive skin"
Tocopheryl Acetate (Vitamin E),Antioxidant,Protects skin from free radicals and hydrates,All skin types
